,Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
268,meal_id23  ,dates and nuts ladoo                                                          ,ladoo       ,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",veg     ,vitamin_e     ,anemia cancer heart_disease kidney_disease obesity diabeties                                                          ,alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet                                                                            ,400
269,meal_id24  ,green lentil dessert fudge                                                    ,dessert     ,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",veg     ,calcium       ,anemia hypertension scurvy heart_disease goitre kidney_disease pregnancy diabeties                                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet                                                                           ,265
270,meal_id202 ,pista chocolate &amp; mandarin                                                ,chocolate   ,"पिस्ता, दूध, चीनी, टूटे हुए चावल, हरी इलाइची, वाइट चॉकलेट, दूध, अंडे का पीला भाग, विप्ड क्रीम, वनीला पॉड, मैन्डरिन , चीनी, पानी                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",veg     ,magnesium     ,scurvy hypertension heart_disease                                                                                     ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,370
271,meal_id69  ,banana and maple ice lollies                                                  ,banana      ,"केले, ग्रीक योगर्ट, हैवी क्रीम, प्योर मैपल सिरप , नारियल                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",veg     ,selenium      ,hypertension                                                                                                          ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet                                                                                                          ,485
272,meal_id203 ,banana and chia tea cake                                                      ,cake        ,"बनाना, कैस्टर शुगर, मैदा, तेल, दूध, अंडे, बेकिंग सोडा, अलसी के बीज, बादाम फलेक्स, चिया सीड्स                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,potassium     ,hypertension heart_disease goitre obesity diabeties                                                                   ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet                                                                                     ,290
273,meal_id204 ,chocolate and almond rum ball h                                               ,almond      ,"चॉकलेट स्पॉज एगलेस, डार्क चॉकलेट, सिंगल क्रीम, बादाम, कैस्टर शुगर, इंस्टेंट कॉफी पाउडर, डार्क रम                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet gluten_free_diet                                                                                                                       ,255
274,meal_id25  ,cashew nut cookies                                                            ,cookie      ,"काजू पेस्ट, घी, खांड, फलैक्स या चिया सीडस, बेकिंग सोडा, बेकिंग पाउडर, वनीला, ओट्स, मैदा आर्गेनिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",veg     ,protien       ,hypertension                                                                                                          ,high_protien_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                   ,645
276,meal_id206 ,chocolate doughnut                                                            ,chocolate   ,"चीनी, अंडे का पीला भाग, अंडा, मक्खन, यीस्ट, दूध                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,585
277,meal_id207 ,spiced almond banana jaggery cake                                             ,cake        ,"मक्खन, दालचीनी गुड़ पाउडर, जायफल (पीसा हुआ), बादाम, चीनी, अंडे, संतरे का छिलका , केला, मैदा, बेकिंग सोडा, बेकिंग पाउडर, नमक, छाछ, पीसी हुई दालचीनी                                                                                                                                                                                                                                                                                                                                                                                                                                   ",veg     ,potassium     ,hypertension                                                                                                          ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet gluten_free_diet                                                                                                   ,545
278,meal_id208 ,fennel scented sweet banana fritters                                          ,banana      ,"गेंहू का आटा, केला, गुड़ , दूध या पानी, घी या तेल                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",veg     ,selenium      ,hypertension scurvy goitre kidney_disease pregnancy                                                                   ,alkaline_diet low_fat_diet paleo_diet Mediterranean_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet dash_diet                                                            ,650
279,meal_id209 ,camel milk cake tart                                                          ,cake        ,"कैमल मिल्क, चीनी, सिरका, मक्खन, ब्राउन शुगर, मैदा, अंडे                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",veg     ,vitamin_d     ,cancer hypertension kidney_disease rickets                                                                            ,low_fat_diet ketogenic_diet high_fiber_diet high_protien_diet dash_diet                                                                                                                 ,580
280,meal_id210 ,quinoa coconut crumble custard                                                ,coconut     ,"क्निोआ (पका हुआ), ओट्स, दालचीनी पाउडर, नमक, ब्राउन शुगर या गुड़, नट्स, कोकोनट्स फलेक्स, अंडे, क्निोआ, नारियल दूध, मैपल सिरप, वनीला एक्ट्रैक्ट, दालचीनी पाउडर, नमक, शहद                                                                                                                                                                                                                                                                                                                                                                                                                    ",veg     ,protien       ,obesity pregnancy hypertension goitre                                                                                 ,paleo_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet                                                                                         ,375
283,meal_id136 ,malabari fish curry                                                           ,curry       ,"sear fish, coconut, ginger, pureed tamarind, salt, powdered turmeric, green chillies, red chilli powder, shallots                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,665
285,meal_id2   ,chicken minced salad                                                          ,salad       ,"olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts                                                                                                                                                                                                                                                                                                                                                         ",non-veg ,fiber         ,anemia pregnancy hypertension rickets goitre kidney_disease obesity                                                   ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                         ,500
288,meal_id65  ,almond &amp; white chocolate gujiya                                           ,gujiya      ,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,magnesium     ,anemia hypertension scurvy heart_disease rickets kidney_disease obesity                                               ,low_fat_diet omni_diet ketogenic_diet gluten_free_diet high_fiber_diet hormone_diet high_protien_diet                                                                                   ,550
290,meal_id48  ,almond and chicken momos (without shell)                                      ,chicken     ,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)                                                                                                                                                                                                                                                                                                                                                                                                                ",non-veg ,calcium       ,anemia hypertension rickets goitre kidney_disease pregnancy                                                           ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                        ,460
291,meal_id213 ,berry parfait hazelnut white chocolate sable                                  ,chocolate   ,"for berry parfait:, egg yolk, caster sugar, berry puree, cream cheese, double cream, for hazelnut streusel:, ground hazelnut, flour, caster sugar, butter, for hazelnut white chocolate pressed sable:, hazelnut streusel, cocoa butter, puffed rice, clarified butter, melted white chocolate, for flexy berry:, raspberry puree, sugar, liquid glucose, pectin                                                                                                                                                                                                      ",veg     ,vitamin_a     ,anemia hypertension scurvy heart_disease rickets kidney_disease obesity                                               ,low_fat_diet omni_diet ketogenic_diet high_fiber_diet hormone_diet high_protien_diet                                                                                                    ,250
293,meal_id137 ,portugese fish stew                                                           ,fish        ,"sole fillet (you can also do 2/3 types of fish), large shrimps (optional), potatoes (peeled), onions (cut into slices), garlic cloves, red capsicum (can use green also), parsley or coriander (choose the herb that most suits your taste buds), few dashes of hot sauce, paprika, olive oil, white wine, rock salt                                                                                                                                                                                                                                                  ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,465
296,meal_id215 ,mixed vegetable soup                                                          ,soup        ,"मिक्स वेजिटेबल  (टमाटर, गाजर, मटर और फ्रेंच बीन्स), नमक, जीरा पाउडर, तेल, कढ़ीपत्ता                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",veg     ,sodium        ,scurvy heart_disease kidney_disease obesity diabeties                                                                 ,alkaline_diet low_fat_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                                                      ,315
299,meal_id213 ,berry parfait hazelnut white chocolate sable                                  ,chocolate   ,"for berry parfait:, egg yolk, caster sugar, berry puree, cream cheese, double cream, for hazelnut streusel:, ground hazelnut, flour, caster sugar, butter, for hazelnut white chocolate pressed sable:, hazelnut streusel, cocoa butter, puffed rice, clarified butter, melted white chocolate, for flexy berry:, raspberry puree, sugar, liquid glucose, pectin                                                                                                                                                                                                      ",veg     ,vitamin_a     ,anemia hypertension scurvy heart_disease rickets kidney_disease obesity                                               ,low_fat_diet omni_diet ketogenic_diet high_fiber_diet hormone_diet high_protien_diet                                                                                                    ,340
302,meal_id216 ,duo of chocolate and strawberry                                               ,strawberry  ,"dark chocolate, white chocolate, strawberries                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,vitamin_c     ,scurvy hypertension heart_disease                                                                                     ,high_fiber_diet ketogenic_diet                                                                                                                                                          ,220
303,meal_id217 ,mustard-parmesan whole roasted cauliflower                                    ,roasted     ,"cauliflowers, garlic, halved, olive oil , dijon mustard , kosher salt , freshly ground black pepper , fresh parsley leaves, parmesan , lemon wedges                                                                                                                                                                                                                                                                                                                                                                                                                   ",veg     ,chloride      ,cancer hypertension kidney_disease                                                                                    ,alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet                                                                                                                     ,510
304,meal_id218 ,hassel back sweet potatoes                                                    ,vanilla     ,"sweet potatoes, butter, brown sugar, pure vanilla extract, ground cinnamon, himalayan pink salt / rock salt                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",veg     ,chloride      ,pregnancy hypertension scurvy goitre kidney_disease obesity                                                           ,alkaline_diet low_fat_diet omni_diet paleo_diet Mediterranean_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet                                                          ,655
305,meal_id74  ,slow cooked spiced sangria                                                    ,sangria     ,"red wine (merlot / zinfandel), apple cider, honey, orange (zested and juiced), cloves (whole), green cardamom, cinnamon sticks, anise (whole), brandy                                                                                                                                                                                                                                                                                                                                                                                                                 ",veg     ,iron          ,anemia pregnancy scurvy heart_disease goitre kidney_disease obesity diabeties                                         ,vegan_diet low_fat_diet high_fiber_diet ketogenic_diet                                                                                                                                  ,240
307,meal_id220 ,matcha tea macarons                                                           ,tea         ,"egg whites, breakfast sugar, icing sugar, almond powder, matcha powder, heavy cream, white chocolate                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,vitamin_a     ,heart_disease                                                                                                         ,ketogenic_diet hormone_diet                                                                                                                                                             ,355
308,meal_id221 ,"amaranthus granola with lemon yogurt, berries and marigold                  ",yogurt      ,"popped amaranthus (cholai), oats, almonds, cinnamon powder, sunflower seeds, sesame seeds, honey, brown sugar, salt, olive oil, lemon rind, plain yogurt (whipped with lemon rind), blueberries                                                                                                                                                                                                                                                                                                                                                                       ",veg     ,calcium       ,pregnancy hypertension scurvy heart_disease goitre kidney_disease obesity                                             ,low_fat_diet omni_diet Mediterranean_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet dash_diet                                                                         ,320
309,meal_id222 ,chocolate fudge cookies                                                       ,cookie      ,"dark chocolate coverture, butter, sugar, eggs, flour, baking powder, salt, cocoa powder, vanilla essence                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,230
310,meal_id223 ,veg summer rolls                                                              ,rice        ,"rice paper sheets, iceberg lettuce, carrot, bean sprouts, cucumber, tofu, basil, mint leaves, coriander, rice noodles (soaked in warm water for 20-25 minutes), peanuts, hoisin sauce, peanuts, garlic, oil, red chillies, water                                                                                                                                                                                                                                                                                                                                      ",veg     ,carbohydrates ,diabeties                                                                                                             ,high_protien_diet                                                                                                                                                                       ,545
312,meal_id225 ,sweet potato pie                                                              ,pie         ,"yams (red skinned), condensed milk, sugar, egg , cinnamon , marshmallows ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",veg     ,vitamin_a     ,hypertension scurvy goitre kidney_disease pregnancy                                                                   ,alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_sodium_diet gluten_free_diet high_fiber_diet high_protien_diet dash_diet                                                   ,680
313,meal_id226 ,wok tossed asparagus in mild garlic sauce                                     ,sauce       ,"asparagus, 1 fried onion (medium), 1/2 tsp breakfast sugar, 10 ml potato starch, 20 ml stock vegetarian, 20 gm porcini, salt to taste, 50 ml oil                                                                                                                                                                                                                                                                                                                                                                                                                      ",veg     ,chloride      ,hypertension cancer scurvy heart_disease kidney_disease pregnancy diabeties                                           ,alkaline_diet dash_diet low_fat_diet type_a_diet                                                                                                                                        ,615
314,meal_id227 ,cinnamon oatmeal pancakes                                                     ,pancakes    ,"rolled oats, buttermilk (divided), whole wheat flour or oat flour, baking powder, baking soda, cinnamon, salt, eggs, canola oil , honey or maple syrup,                                                                                                                                                                                                                                                                                                                                                                                                               ",veg     ,selenium      ,hypertension cancer rickets goitre obesity diabeties                                                                  ,high_protien_diet vegan_diet low_fat_diet ketogenic_diet                                                                                                                                ,215
315,meal_id228 ,chocolate chip cheesecake                                                     ,chocolate   ,"butter biscuits (broken into pieces), butter (softened), cream cheese (softened), sugar, egg, rose essence or vanilla essence, chocolate chips                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,calcium       ,hypertension heart_disease                                                                                            ,low_fat_diet ketogenic_diet vegan_diet high_fiber_diet high_protien_diet                                                                                                                ,450
316,meal_id229 ,chocolate lava cake                                                           ,cake        ,"dark chocolate, butter, icing sugar, egg yolks +  whole eggs, flour                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",veg     ,vitamin_a     ,hypertension heart_disease                                                                                            ,high_fiber_diet ketogenic_diet                                                                                                                                                          ,280
319,meal_id204 ,chocolate and almond rum ball h                                               ,almond      ,"चॉकलेट स्पॉज एगलेस, डार्क चॉकलेट, सिंगल क्रीम, बादाम, कैस्टर शुगर, इंस्टेंट कॉफी पाउडर, डार्क रम                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet gluten_free_diet                                                                                                                       ,450
320,meal_id232 ,apple and walnut cake                                                         ,cake        ,"सेब, अंडे, अखरोट, चीनी, अखरोट, तेल, मैदा, बेकिंग पाउडर, दालचीनी पाउडर                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,potassium     ,obesity diabeties                                                                                                     ,high_protien_diet low_fat_diet high_fiber_diet ketogenic_diet                                                                                                                           ,510
321,meal_id7   ,chocolate nero cookies                                                        ,cookie      ,"बादाम, अंडे, चीनी (पीसी हुई), चॉकलेट (हल्की मीठी), मक्खन, मैदा, बेकिंग पाउडर, कैस्टर शुगर, आइसिंग शुगर                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,685
322,meal_id233 ,gluten free almond cake                                                       ,cake        ,"बादाम पाउडर, अंडा, शहद , बेकिंग सोडा, वनिला एसेंस, नमक, शहद, बादाम                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,potassium     ,hypertension heart_disease goitre kidney_disease obesity diabeties                                                    ,low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet gluten_free_diet                                                                                                    ,635
323,meal_id234 ,cinnamon star cookies                                                         ,cookie      ,"मक्खन, कैस्टर शुगर, क्रिसमस मिक्स स्पाइसी, दालचीनी पाउडर, शहद, ग्लूकोज, क्रीम, कुट्टू का आटा, बेकिंग सोडा, ब्रेड फलार                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,protien       ,cancer diabeties hypertension                                                                                         ,ketogenic_diet                                                                                                                                                                          ,530
324,meal_id51  ,christmas chocolate fudge cookies                                             ,cookie      ,"मक्खन, ब्राउन शुगर, चॉकलेट, चॉकलेट चिप्स, अंडे , आटा, कोको पाउडर, बेकिंग पाउडर                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,545
328,meal_id237 ,double chocolate easter cookies                                               ,cookie      ,"मक्खन, ब्राउन शुगर, कैस्टर शुगर, वनिला एसेंस, डार्क चॉकलेट, रिफाइंड फ्लॉर, कोको पाउडर, बेकिंग सोडा, नमक, दूध, कैडबरी जेम्स                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,magnesium     ,diabeties hypertension heart_disease scurvy                                                                           ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,460
329,meal_id53  ,chocolate appo                                                                ,chocolate   ,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter                                                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,610
330,meal_id163 ,red rice vermicelli kheer                                                     ,kheer       ,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar                                                                                                                                                                                                                                                                                                                                                                                                                               ",veg     ,carbohydrates ,anemia pregnancy cancer scurvy kidney_disease obesity diabeties                                                       ,alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet                                                                                                                     ,325
331,meal_id16  ,almond and raw banana galawat                                                 ,banana      ,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter                                                                                                                                                                                                                                                                                                                                                                       ",veg     ,selenium      ,anemia hypertension cancer scurvy heart_disease kidney_disease diabeties                                              ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                                 ,510
